p_date,sostype,refer_domain,pv,page_uv
20190619,,gt.hd.he.yuqing.pro,1,1
20190617,android,10.10.10.222,1,1
20190615,,www.jqsocial.com,1,1
20190616,android,zb.mangsou.com,85,14
20190614,iphone,m.weibo.cn,17,17
20190614,iphone,www.google.be,3,3
20190614,,copyright.om.webdev.com,2017,17
20190620,,www.aizxhl.com,1,1
20190614,,js.qq.com,6,6
20190620,iphone,www.hongtaimingsheng.com,1,1
20190619,,admin.p.adm-corp.kuaishou.com,1,1
20190617,,www.myunmei.cn,1,1
20190619,,meitigongxiang.danews.cc,1,1
20190616,,www.google.co.ve,1,1
20190614,,mail.163.com,1,1
20190616,,crm.om.webdev.com,35,4
20190617,,www.meijiehz.com,2,1
20190614,android,www.google.com.sg,7,7
20190616,,www.caup.cn,2,1
20190617,android,10.2.2.2,2,2
20190620,,wapbaike.baidu.com,1,1
20190618,iphone,lego.wsd.oa.com,1,1
20190619,android,192.168.64.10,1,1
20190620,android,coral.qq.com,30,13
20190619,,sn.topic.yuqing.pro,2,1
20190615,android,smartbox.html5.qq.com,52,14
20190615,iphone,www.zuanke8.com,15,15
20190614,,imis.baijiahao.baidu.com,10,3
20190618,,www.google.fi,1,1
20190618,,sports.sina.com.cn,3,3
20190618,iphone,www.google.ie,1,1
20190615,iphone,www.weivb.com,2,2
20190618,iphone,search.yahoo.co.jp,4,4
20190616,,pubg.qq.com,1,1
20190620,,dong.dmeiti.net,1,1
20190620,android,www.cnhuadong.net,1,1
20190614,,om.qq.com,5457,1773
20190618,android,10.90.244.238,3,3
20190614,,wxn.qq.com,1,1
20190614,,blog.csdn.net,2,2
20190620,,gc.sjz.he.yuqing.pro,1,1
20190618,android,ts1.m.sm.cn,1,1
20190619,,www.bing.com,2,2
20190619,android,www.zongzuyun.cn,1,1
20190619,,bpm.zldcgroup.com,1,1
20190614,android,feed.theta.sogou.com,30,27
20190615,iphone,search.weixin.qq.com,1,1
20190619,,liebao.jfyf.com,3,2
20190615,iphone,adpro.futurenet.club,1,1
20190617,,transition.meltwater.com,3,3
20190615,android,h5.qzone.qq.com,1,1
20190617,android,www.yqt365.com,1,1
20190619,iphone,tieba.baidu.com,6,5
20190619,,ainlp.oa.com,20,4
20190618,,yulin.yuqing.pro,1,1
20190614,,tools.int800.com,254,44
20190619,android,192.168.0.53,1,1
20190616,iphone,www.sogou.com,2,2
20190618,,jd.com,1,1
20190617,,ga.hhg.zy.gz.topic.yuqing.pro,1,1
20190614,,db.house.qq.com,3,3
20190616,android,app.myzaker.com,1,1
20190616,iphone,fj.qq.com,1,1
20190617,,www.google.com.sg,35,31
20190618,android,t.cn,8,8
20190619,,setting.int800.com,3,2
20190618,,www.lzwenhua.info,2,1
20190618,,yz.m.sm.cn,4,3
20190614,android,10.255.255.2,1,1
20190618,android,m.baidu.com,62836,58242
20190619,iphone,www.google.co.uk,81,75
20190620,,wx.qq.com,77,27
20190615,iphone,www.google.co.id,3,3
20190617,,10.99.206.196,2,1
20190619,,baike.baidu.com,1,1
20190618,,defensor.baidu.com,2,1
20190619,,www.meijiehang.com,32,16
20190620,iphone,transition.meltwater.com,1,1
20190619,iphone,www-360doc-cn.mipcdn.com,2,2
20190615,,24r80x7187.wicp.vip,1,1
20190614,,www.xiezuodaren.com,4,2
20190615,,111.202.27.196,1,1
20190614,android,www.google.co.kr,4,4
20190619,,www.pinterest.jp,5,4
20190617,android,task.yeeyan.org,9,3
20190614,iphone,url.cn,3,2
20190617,,shouqu.me,1,1
20190616,,www.sogou.com,2269,2115
20190620,,mymonitor.xyz,2,2
20190617,,yun.wyq.cn,3,3
20190615,,qinghaipolice.yuqing.pro,2,1
20190615,,www.google.cz,1,1
20190615,android,10.43.1.1,1,1
20190617,,www.google.com.mm,1,1
20190620,,easy.lagou.com,1,1
20190620,android,weixin.ehnchina.com,1,1
20190617,,www.google.com,4199,3968
20190617,android,www.hljga.gov.cn,4,4
20190619,,cdpanda.qq.com,1,1
20190618,,www.google.si,1,1
20190618,,www.xm909.com,2,1
20190620,,134.175.42.211,2,1
